"AED Name","AED Address","Detailed location of the AED installed","Location Google Map coordinate: latitude","Location Google Map coordinate: longitude","Whether the AED can be used by anyone","Person allowed to operate the AED","Person who has access to the AED","Ground level categories","Service Hour Remark","AED brand","AED model","AED remark"
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Disney Explorers Lodge, 3/F East Wing Lobby near Family Washroom",22.307471188839,114.03836062209,Yes,Anyone,Anyone,"Non-street level","Hotel Operating days",Philips,"Heartstart FRx",
"Auxiliary Medical Service Tsuen Wan Training Centre","24/F Tsuen Wan Central Public Library and Government Offices Complex","Lobby, Office &amp; Training Centre",22.3743909,114.1156479,Yes,Anyone,Anyone,"Non-street level",,Philips,"HeartStart FR2+",
"Auxiliary Medical Service Hong Kong Regional Office &amp; Training Centre","12/F Eastern District Government Office and Law Court Building, 29 Tai On Street","Lobby, Office &amp; Training Centre",22.2843535,114.224114,Yes,Anyone,Anyone,"Non-street level",,Philips,"HeartStart FR2+",
"Auxiliary Medical Service NTE Regional Office","70 Che Kung Miu Road","Lobby, G/F",0,0,Yes,Anyone,Anyone,"Street level",,Philips,"HeartStart FR2+",
"Enterprise Square","Enterprise Square, 9 Sheung Yuet Road, Kowloon Bay, Kowloon","3/F Lobby (near Reception Counter)",22.3220294,114.2079355,Yes,Anyone,Anyone,"Non-street level",,Physio-Control,"Lifepak CR Plus",
"Tower III, Enterprise Square","Tower III, Enterprise Square, 9 Sheung Yuet Road, Kowloon Bay, Kowloon","11/F (approaching Cargo Lift Lobby)",22.3219469,114.2078656,Yes,Anyone,Anyone,"Non-street level",,HeartSine,"Samaritan PAD 500P",
"Enterprise Square Two","Enterprise Square Two, 3 Sheung Yuet Road, Kowloon Bay, Kowloon","1/F Reception Counter",22.3217472,114.2072389,Yes,Anyone,Anyone,"Non-street level",,Physio-Control,"Lifepak CR Plus",
"Enterprise Square Three","Enterprise Square Three, 39 Wang Chiu Road, Kowloon Bay, Kowloon","1/F Reception Counter",22.3196319,114.2095627,Yes,Anyone,Anyone,"Non-street level",,HeartSine,"Samaritan PAD 500P",
"MegaBox, Enterprise Square Five","MegaBox, Enterprise Square Five, 38 Wang Chiu Road, Kowloon Bay, Kowloon","G Information Counter",22.3199795,114.2084331,Yes,Anyone,"Staff only","Street level",,Physio-Control,"Lifepak CR Plus",
"MegaBox, Enterprise Square Five","MegaBox, Enterprise Square Five, 38 Wang Chiu Road, Kowloon Bay, Kowloon","L9 Information Counter",22.3199795,114.2084331,Yes,Anyone,Anyone,"Non-street level",,Physio-Control,"Lifepak CR Plus",
"MegaBox, Enterprise Square Five","MegaBox, Enterprise Square Five, 38 Wang Chiu Road, Kowloon Bay, Kowloon","L15 Security Office",22.3199795,114.2084331,Yes,Anyone,"Staff only","Non-street level",,Physio-Control,"Lifepak CR Plus",
"Tower One, Enterprise Square Five","Tower One, Enterprise Square Five, 38 Wang Chiu Road, Kowloon Bay, Kowloon","L1 Information Counter",22.3199285,114.2088179,Yes,Anyone,"Staff only","Non-street level",,Physio-Control,"Lifepak CR Plus",
"Heung Yuen Wai Boundary Control Point","199 Lin Ma Hang, Ta Kwu Ling, N.T.","Facility Management Office, M/F",22.556679,114.164996,Yes,Anyone,Anyone,"Non-street level",,Philips,"HeartStart HS1",
"ICAC Building","303 Java Road, North Point, Hong Kong","Ground Floor",22.2930062,114.2055841,Yes,"Staff only","Staff only","Street level",,,,
"Hong Kong Pacific Centre","28 Hankow Road, Tsim Sha Tsui","Concierge Counter, G/F",22.297118650638,114.17123387745,Yes,"Staff only","Staff only","Street level",,"Cardiac Science","G3 Powerheart (Fully-auto)",
Domain,"Domain, 38, Ko Chiu Road, Yau Tong Kowloon, Hong Kong.","Domain, G/F Customer Service Counter",22.296321287938,114.23841483049,Yes,"Staff only","Accompanied By Staff only","Non-street level",,Philips,"HS1 (Semi-auto)",
"Yau Lai Shopping Centre","Yau Lai Shopping Centre, No 9 Yau Tong Road, Yau Tong, Kowloon, Hong Kong.","G/F Customer Service Counter",22.298634186343,114.23698722474,Yes,"Staff only","Accompanied By Staff only","Street level",,"Heart Guardian",HR-501(Semi-auto),
"Father Cucchiara Memorial School","Estate School No. 2, Cheung Ching Estate Phase I, Tsing Yi, N.T. Phone:","cover playground",22.3482406,114.107566,Yes,"Trained Personnel Only","Staff only","Street level",,"Heart Guardian","HR-501 (Semi-auto)",
"The Rotary Information Centre Ltd","14/F Capital Commercial Building, 26 Leighton Road, Causeway Bay, Hong Kong","Inside wall cabinet near entrance",22.2772204,114.183062,Yes,Anyone,Anyone,"Non-street level",Nil,Philips,"FRX (Semi-auto)",
"Far East Finance Centre","16 Harcourt Road, Admiralty","Courtesy Desk, UG/F",22.2799799492,114.16391168367,Yes,"Staff only","Staff only","Non-street level",,"Cardiac Science","G3  (Fully-auto)",
"The Pacifica Mall","9 Sham Shing Road, Cheung Sha Wan","2/F Service Centre",22.334260441765,114.14928905886,Yes,"Trained Personnel Only",Anyone,"Street level",,,,
"Harbour North Phase 2","123 Java Road, North Point, Hong Kong","1/F, Customer Care Centre",22.292634373955,114.20078815827,Yes,"Trained Personnel Only","Accompanied By Staff only","Non-street level",,"Cardiac Science","Powerheart G3 (Semi-auto)",
"Harbour North Phase 1","1 North Point Estate Lane, North Point, Hong Kong","G/F Customer Care Centre",22.292640502718,114.19960042335,Yes,"Trained Personnel Only","Accompanied By Staff only","Street level",,"Cardiac Science","Powerheart G5 (Fully-auto)",
Mikiki,"G/F, 638 Prince Edward Road East, San Po Kong, Kowloon, Hong Kong","Mikiki G/F Customer Care Centre",22.333809750297,114.19724086627,Yes,Anyone,Anyone,"Street level",,Physio-control,"Lifepak CR Plus (Fully -auto)",
"Yue Man Square","Concierge, UG/F","33 Hip Wo Street, Kwun Tong",22.314146274207,114.22534679283,Yes,"Staff only","Staff only","Non-street level",,"Cardiac Science","G3 Elite (Fully-auto)",
"Coronation Circle","1 Yau Cheung Road, West Kowloon","Concierge, G/F",22.309749714452,114.16608807852,Yes,"Staff only","Staff only","Street level",,,,
"Concordia Plaza","1 Science Museum Road, Tsim Sha Tsui East","1/F Service Counter",22.301646928694,114.17840317179,Yes,"Trained Personnel Only",Anyone,"Street level",,"Cardiac Science","G3 Powerheart (Fully-auto)",
"OP Mall","100 Tai Ho Road, Tsuen Wan, New Territories","3/F, Security control room",22.3680845,114.1106576,Yes,"Trained Personnel Only","Staff only","Non-street level",,,,
"Olympian City 1","11 Hoi Fai Road, West Kowloon","Concierge, UG/F",22.318610629146,114.15887763013,Yes,"Staff only","Staff only","Non-street level",,,,
"Electrical and Mechanical Services Department","G/F Reception Counter","3 Kai Shing Street, Kowloon Bay",22.325951658687,114.20400541908,Yes,Anyone,"Accompanied By Staff only","Street level",,,,
"Oscar By The Sea (Hong Yip Service Company Ltd.)","Oscar By The Sea, No.8 Pung Loi Road, Tseung Kwan O, N.T.","Phase 1, 2/F Shuttle Lift Lobby near Reception",22.307736740691,114.26686328526,Yes,Anyone,Anyone,"Street level",,Philips,HS1(Semi-auto),
"Shanghai Commercial Bank Tower","10-12 Queen&amp;#39;s Road Central","2/F Concierge",22.28037116443,114.15761932667,Yes,"Trained Personnel Only","Accompanied By Staff only","Non-street level",,Mindray,"BeneHeart C2 (Fully-auto)",
"Ocean Park Station","Ocean Park Station","Platform 1 (Front End)",22.248707284256,114.17445353321,Yes,"Staff only","Accompanied By Staff only","Non-street level",,,,
"New World Tower","16-18 Queen&amp;#39;s Road Central, Central","M/F Security Control Room",22.280559772686,114.15731112637,Yes,"Trained Personnel Only","Accompanied By Staff only","Non-street level",,Philips,"FRX (Semi-auto)",
"Hang Hau Station","Hang Hau Station","Platform 2 (near 4th Car)",22.315590135619,114.26438800148,Yes,"Staff only","Accompanied By Staff only","Non-street level",,,,
"Admiralty Station","Admiralty Station","Level 4 M/F Transfer Lobby",22.279412,114.164559,Yes,"Staff only","Accompanied By Staff only","Non-street level",,,,
"Fanling Centre Shopping Arcade","G/F, Fanling Centre Shopping Arcade, 33 San Wan Road, Fanling",Concierge,22.490996174853,114.14070679612,Yes,Anyone,"Accompanied By Staff only","Street level",,"Cardiac Science","PowerHeart G5 ( Fully-auto)",
"KWUN TONG RESIDENT ASSOCIATION Head Office","8F,Yue Man Mansion, 15 Hon Ning Road,KWUN TONG",Reception,22.314222938985,114.22348314848,Yes,Anyone,"Accompanied By Staff only","Non-street level",,,,
"KWUN TONG RESIDENT ASSOCIATION health center","4 D, Yue Man Mansion",entrance,22.314273368498,114.22346955841,No,"Trained Personnel Only","Accompanied By Staff only","Non-street level",,,,
"KWUN TONG RESIDENT ASSOCIATION Child Care Centre","Shop No. L10-12 Low Block, Tsui Nam House, Tsui Ping (North) Estate,Kwun Tong, KLN","Near the door",22.316654825982,114.22880313103,Yes,Anyone,"Accompanied By Staff only","Street level",,,,
"PLK Mrs. Ma Kam Ming-Cheung Fook Sien College","Fu Tung Estate, Tung Chung","G/F Reception",22.28765883635,113.94385260982,Yes,"Trained Personnel Only","Accompanied By Staff only","Street level",,Mindray,"C1A (Fully-auto)",
"Alex KY Wong Asset Management Company Limited","Unit A &amp; D, 15/F, Two Chinachem Plaza, 135 Des Voeux Road Central, Central, Hong Kong",Pantry,22.285457148227,114.15532242793,Yes,Anyone,Anyone,"Non-street level","(Office is closed during lunch hour from 12:00 n.n. to 1:00 p.m.)","Cardiac Science",G5,
"Shatin Galleria","18 Shan Mei Street, Shatin","Customer Services Centre, G/F",22.397218827227,114.19340501717,Yes,"Staff only","Staff only","Street level",,,,
"Patrick Wong CPA Ltd","Room 1101, 11/F, China Insurance Group Building, 141 Des Voeux Road Central, Hong Kong","Inside Office",22.2855404,114.1551537,Yes,Anyone,"Accompanied By Staff only","Non-street level",,,,
"United Christian Hospital (Block S)","G/F, Block S, United Christian Hospital, 130 Hip Wo Street, Kwun Tong, Kowloon","Enquiry Counter on G/F at Block S",22.322532301831,114.22759252157,Yes,Anyone,Anyone,"Street level",,,,
"United Christian Hospital (Block P)","G/F, Block P, United Christian Hospital, 130 Hip Wo Street, Kwun Tong, Kowloon","Outside Security Department on G/F at Block P",22.323212150455,114.22729211416,Yes,Anyone,Anyone,"Street level",,,,
"Yan Chai Hospital No2 Secondary School","Area 31, Yeung Tsing Road, Tuen Mun","Outside Main Entrance",22.389457660028,113.96596778095,Yes,Anyone,Anyone,"Street level",,,,
"Yan Chai Hospital Multi-Services Complex","No.7-11 Yan Chai Street, Tsuen Wan","G/F, main entrance",22.36962531413,114.11900028836,Yes,Anyone,Anyone,"Street level",,,,
"Yan Chai Hospital C Block","18 Yan Chai Street, Tsuen Wan, 1/F","Outside Pharmacy",22.369545839263,114.1196418762,Yes,Anyone,Anyone,"Non-street level",,,,
"Yan Chai Hospital A Block","3/F, 121-129 Tsuen Wan Market St, Tsuen Wan","Near lift lobby",22.3705196,114.1197355,Yes,Anyone,"Accompanied By Staff only","Non-street level",,,,
"Yan Chai Hospital C Block","Block C, Yan Chai Hospital, G/F","G/F, Outside Central Registration &amp; Shroff Office",22.3695508,114.11966333387,Yes,Anyone,Anyone,"Street level",,,,
Oceanaire,"Oceanaire, No. 18 Po Tai Street, Ma On Shan, NT, HK","Customer Service Counter, Indoor Swimming Pool",22.4154611,114.223678,Yes,"Trained Personnel Only","Accompanied By Staff only","Non-street level","Indoor Swimming Pool Open Only","Cardiac Science","G3 Powerheart (Fully-auto)",
"Pamela Youde Nethersole Eastern Hospital","3 Lok Man Road, Chai Wan","Enquiry Counter, G/F, Main Block",22.269417803952788,114.23625533860732,Yes,"Trained Personnel Only",Anyone,"Street level",,,,
"Hong Kong Red Cross Headquarters","2/F Podium","19 Hoi Ting Rd, West Kowloon",22.3145542,114.1623159,Yes,Anyone,Anyone,"Non-street level",,Mindray,"BeneHeart D1 AED (Semi-auto)",
"Pamela Youde Nethersole Eastern Hospital","3 Lok Man Road, Chai Wan","EF Wing Lift Lobby, 3/F, Main Block",22.269350258429125,114.23634310768644,Yes,"Trained Personnel Only",Anyone,"Non-street level",,,,
"Pamela Youde Nethersole Eastern Hospital","3 Lok Man Road, Chai Wan","AB Wing Lift Lobby, 1/F, Main Block",22.2694086,114.2369951,Yes,"Trained Personnel Only",Anyone,"Non-street level",,,,
"Pamela Youde Nethersole Eastern Hospital","3 Lok Man Road, Chai Wan","Outside Multi-Disciplinary Day Ward, G/F, East Block",22.26999661300334,114.23731056458747,Yes,"Trained Personnel Only",Anyone,"Street level",,,,
"Pamela Youde Nethersole Eastern Hospital","3 Lok Man Road, Chai Wan","Lift Lobby, LG3, East Block",22.270029135851,114.23731160066,Yes,"Trained Personnel Only",Anyone,"Non-street level",,,,
"Pamela Youde Nethersole Eastern Hospital","3 Lok Man Road, Chai Wan","LG1/F, SOPD",22.269032620443095,114.23706892058358,Yes,"Trained Personnel Only",Anyone,"Non-street level",,,,
"One Midtown (Harriman Property Management Limited)","One Midtown, 11 Hoi Shing Road, Tsuen Wan, N.T.","Ground Floor Concierge",22.372423312372,114.10763905634,Yes,"Staff only","Accompanied By Staff only","Non-street level",,,,
"Princess Margaret Hospital, Block G","2-10 Princess Margaret Hospital Road, Lai Chi Kok, Kowloon","Outside 4/F Canteen, Block G",22.340860335587,114.13452543174,Yes,Anyone,Anyone,"Non-street level",,,,
"Tung Wah Hospital","No 12 Po Yan Street, Sheung Wan","Ground Floor, Yeo Wing",22.285241918529,114.1469296054,Yes,Anyone,Anyone,"Street level",,,,
"Princess Margaret Hospital, Block AB","2-10 Princess Margaret Hospital Road, Lai Chi Kok, Kowloon","LG2/F Pharmacy, Block AB, PMH",0,0,Yes,Anyone,Anyone,"Non-street level",,,,
"North District Hospital","9 Po Kin Road, Sheung Shui, N.T.","Corridor, LG/F (Next to Female Changing Room)",22.4967898,114.1245034,Yes,Anyone,Anyone,"Non-street level",,,,
"North District Hospital","9 Po Kin Road, Sheung Shui, N.T.","Security Counter, G/F, Main Entrance",22.4967898,114.1245034,Yes,Anyone,Anyone,"Non-street level",,,,
"North District Hospital","9 Po Kin Road, Sheung Shui, N.T.","Waiting Hall, Allied Health Department, 1/F",22.4967898,114.1245034,Yes,Anyone,Anyone,"Non-street level",,,,
"Hutchison Property Management Company Limited-China Building","29 Queen’s Road Central, Central, Hong Kong","Reception counter on Ground Floor",22.281722066085,114.15684575284,Yes,Anyone,Anyone,"Street level",,,,
"DCH Finest","SHOP NOS. G06 AND G07 G/F LIME GALA, 393 SHAU KEI WAN RD SHAU KEI WAN, HONG KONG","SHOP NOS. G06 AND G07 G/F LIME GALA, 393 SHAU KEI WAN RD SHAU KEI WAN, HONG KONG",22.276898615811,114.22859797116,Yes,Anyone,Anyone,"Street level",,,,
"WHAMPOA GARDEN，SITE 2,B1,CARPART,RSO1 CORTROL ROOM.","WHAMPOA GARDEN，SITE 10,TFS CORTROL ROOM","WHAMPOA GARDEN，SITE 10,CAR PART (NEAR ENTRANCE )",22.306177,114.191986,Yes,"Trained Personnel Only","Accompanied By Staff only","Street level",,"Cardiac Science","G5 Powerheart (Fully-auto)",
"Island Resort Mall","28 Siu Sai Wan Road, Siu Sai Wan","Concierge, UG/F",22.266472706783,114.25067860399,Yes,"Staff only","Staff only","Non-street level",,,,
"Queen Mary Hospital S Block","1 /F, S Block, 102 Pokfulam Road, HK","S1, S Block, Pharmacy",22.270558591142,114.13059802143,Yes,"Trained Personnel Only",Anyone,"Non-street level",,,,
"Alice Ho Miu Ling Nethersole Hospital","11 Chuen On Road, Tai Po, New Territories, Hong Kong","G/F, Enquiry Counter, Block A",22.458645751858,114.17468105827,Yes,Anyone,Anyone,"Street level",,,,
"Alice Ho Miu Ling Nethersole Hospital","11 Chuen On Road, Tai Po, New Territories, Hong Kong","2/F, Security counter, Block J",22.457426187611,114.17477225337,Yes,Anyone,Anyone,"Non-street level",,,,
"Tai Po Hospital","9 Chuen On Road, Tai Po, Hong Kong","G/F, Security Office (G-A-01), Main Block",22.461120176462,114.17442866211,Yes,Anyone,Anyone,"Street level",,,,
"Tai Po Hospital","9 Chuen On Road, Tai Po, Hong Kong","G/F, Watchman Room (G04), Multi-Center",22.46197533704,114.1749302352,Yes,Anyone,Anyone,"Street level",,,,
"Lai King Building, Princess Margaret Hospital","No 10, Lai Kong Street, Kwai Chung","Lobby G/F",22.34737396,114.13111114,Yes,Anyone,Anyone,"Street level",,,,
"Ruttonjee Hospital","266 Queen&amp;#39;s Road East, Wan Chai, Hong Kong","Patient Waiting Hall, G/F, Pharmacy, Hospital Main Building",22.275386339271,114.17503243746,Yes,Anyone,Anyone,"Street level",,,,
"Queen Mary Hospital T Block","G /F, Block T, 102 Pokfulam Road, HK","T block G floor (Entrance of Security Office)",22.267741346924,114.1327625641,Yes,"Trained Personnel Only",Anyone,"Street level",,,,
"Queen Mary Hospital T Block","2 /F, Block T, 102 Pokfulam Road, HK","T block 2 floor, link bridge (next to lift no. 2 at Block T)",22.267813950626,114.13285442976,Yes,"Trained Personnel Only",Anyone,"Non-street level",,,,
"Queen Mary Hospital Main Block","G /F,Wing E,  Main Block, 102 Pokfulam Road, HK","G/F, Wing E, Main Block",22.269791611331,114.13144828168,Yes,"Trained Personnel Only",Anyone,"Street level",,,,
"Queen Mary Hospital Nurses&amp;#39; Quarters B","G /F, Nurses&amp;#39; Quarters B, 102 Pokfulam Road, HK","G/F, Nurses&amp;#39; Quarters B",22.268529312371687,114.1324493356541,Yes,"Trained Personnel Only",Anyone,"Street level",,,,
"Ruttonjee Hospital","266 Queen&amp;#39;s Road East, Wan Chai, Hong Kong","Canteen, LG1/F, Hospital Main Building",22.2758454,114.1753051,Yes,Anyone,Anyone,"Non-street level",,,,
"Ruttonjee Hospital","266 Queen&amp;#39;s Road East, Wan Chai, Hong Kong","Entrance corridor, LG3/F, Hospital Main Building",22.276029479966,114.17513522223,Yes,Anyone,Anyone,"Non-street level",,,,
"Tang Shiu Kin Hospital Community Ambulatory Care Centre","282 Queen&amp;#39;s Road East, Wan Chai, Hong Kong","G/F, Lobby",22.275313097793,114.1778409845,Yes,Anyone,Anyone,"Street level","If the Public Holiday is on Mon - Fri, the opening hours would be 7:15AM to 5:00PM.
If the Public Holiday is on Sat/ Sun, the opening hours would be 7:15AM to 1:00PM.",,,
"Wong Chuk Hang Hospital","2 Wong Chuk Hang Path, Wong Chuk Hang, HK","5/F Lift Lobby, Block A",22.2510937,114.1759363,No,"Trained Personnel Only",Anyone,"Non-street level",,,,
"Wong Chuk Hang Hospital","2 Wong Chuk Hang Path, Wong Chuk Hang, HK","G/F, Main building (Outside Shroff Office)",22.2510937,114.1759363,No,"Trained Personnel Only",Anyone,"Street level",,,,
"Queen Elizabeth Hospital (Block C)","G/F Block C, Queen Elizabeth Hospital, 30 Gascoigne Road, Kowloon  ","Outside Enquiry Counter on G/F at Block C",22.30923743245,114.17460536998,Yes,"Trained Personnel Only",Anyone,"Street level",,,,
"148 Electric Road","148 Electric Road, North Point",Concierge,22.286573770209,114.1916960723,Yes,"Staff only","Staff only","Non-street level",,"Cardiac Science","G3 Elite (Fully-auto)",
"Queen Elizabeth Hospital (Ambulatory Care Centre Extension (Block T))","2/F , Ambulatory Care Centre Extension (Block T), Queen Elizabeth Hospital, 30 Gascoigne Road, Kowloon","Near Escalator",22.3084122,114.1760631,Yes,"Trained Personnel Only",Anyone,"Street level",,,,
"Queen Elizabeth Hospital (Ambulatory Care Centre)","G/F , Ambulatory Care Centre , Queen Elizabeth Hospital, 30 Gascoigne Road, Kowloon","G/F, Lobby of Ambulatory Care Centre",22.308413948246,114.17484781794,Yes,"Trained Personnel Only",Anyone,"Street level",,,,
"Queen Mary Hospital K Block","1 /F, Block K, 102 Pokfulam Road, HK","K1, Entrance of Foreman’s Office",0,0,Yes,"Trained Personnel Only",Anyone,"Non-street level",,,,
"Hong Kong Scout Centennial Building","23 Yat Sin Street, Wanchai","G/F lobby",22.277481003196588,114.17949872680654,Yes,Anyone,Anyone,"Street level",,,,
"MCP Central","L1, MCP Central, 8 Yan King Road, Tseung Kwan O, N. T.",Concierge,22.3233143,114.2581878,Yes,Anyone,"Accompanied By Staff only","Non-street level",,,,
MOSTown,"L3, MOSTown, 18 On Luk Street, Ma On Shan, Shatin, N. T.",Concierge,22.424066995759105,114.23139136427918,Yes,Anyone,"Accompanied By Staff only","Non-street level",,,,
MOSTown,"L2, MOSTown, 18 On Luk Street, Ma On Shan, Shatin, N. T.","Control Room",22.424136646507293,114.23086664407616,Yes,Anyone,"Accompanied By Staff only","Non-street level",,,,
"Sky Tower","38 Sung Wong Toi Road, Kowloon","Customer Service Counter, Club House",22.3235682,114.1899693,No,"Trained Personnel Only","Staff only","Non-street level",,"Cardiac Science","G3 Powerheart (Fully-auto)",
"Bank of China Centre","11 Hoi Fai Road, Tai Kok Tsui, Kowloon","Next to the reception at UG/F",22.320275,114.157543,No,"Trained Personnel Only","Staff only","Non-street level",,,,
"Harbour East","G/F, Harbour East, 218 Electric Road, North Point, Hong Kong","Control Room",22.2885537,114.1931439,Yes,Anyone,"Accompanied By Staff only","Street level",,,,
"The Zumurud","No. 204 Argyle Street, Ma Tau Kok, Kowloon.","Customer Service Counter of Club House, near Swimming Pool",22.3241248,114.1858291,No,"Trained Personnel Only","Accompanied By Staff only","Street level",,"Cardiac Science","G3 Powerheart (Fully-auto)",
"208 Johnston","G/F, 208 Johnston, 206-212 Johnston Road, Wan Chai, Hong Kong",Concierge,22.2773957472655,114.1762282785389,Yes,Anyone,"Accompanied By Staff only","Street level",,,,
"KOLOUR ․ Tsuen Wan I","L1, Kolour Tsuen Wan I, 68 Chung On Street, Tsuen Wan, N. T.",Concierge,22.3706219,114.1177482,Yes,Anyone,"Accompanied By Staff only","Non-street level",,,,
Seanorama,"1 Choi Sha Street, Ma On Shan","1/F Customer Service Counter of Club House",22.4330336,114.2424946,Yes,"Trained Personnel Only","Accompanied By Staff only","Non-street level",,"Cardiac Science","G3 Powerheart (Fully-auto)",
"KOLOUR ․ Yuen Long","G/F, Kolour Yuen Long, 1 Kau Yuk Road, Yuen Long, N. T.",Concierge,22.44262,114.028494,Yes,Anyone,"Accompanied By Staff only","Street level",,,,
"Manhattan Plaza (K-Plus)","G/F, Manhattan Plaza, 23 Sai Ching Street, Yuen Long, N. T.",Concierge,22.4415624,114.0284181,Yes,Anyone,"Accompanied By Staff only","Street level",,,,
"Shatin Centre Shopping Arcade","Shop 4, L1, Shatin Centre Shopping Arcade, 2-16 Wang Pok Street, Shatin, N. T.","Control Room",22.38281679693,114.18939266473,Yes,Anyone,"Accompanied By Staff only","Street level",,,,
"Shatin Plaza","L3, Shatin Plaza, 21-27 Sha Tin Centre Street, Shatin, N. T.",Concierge,22.383355902248,114.18913603366,Yes,Anyone,"Accompanied By Staff only","Non-street level",,,,
"H Queen&amp;#39;s","G/F, H Queen&amp;#39;s, 80 Queen&amp;#39;s Road, Central, Hong Kong","Control Room",22.2829917,114.1552616,Yes,Anyone,"Accompanied By Staff only","Street level",,,,
"H Code","1/F, H Code, 45 Pottinger Street, Central, Hong Kong","Control Room",22.282210495078985,114.15452808834326,Yes,Anyone,"Accompanied By Staff only","Non-street level",,,,
"Manulife Financial Centre","G/F, Manulife Financial Centre , 223-231 Wai Yip Street, Kwun Tong, Kowloon",Concierge,22.3074578048067,114.22369551593546,Yes,Anyone,"Accompanied By Staff only","Street level",,,,
Sausalito,"Sausalito, No. 1 Yuk Tai Street, Ma On Shan, N.T.,H.K.","Indoor Swimming Pool",22.412350581178,114.22223501772,Yes,"Trained Personnel Only","Staff only","Non-street level",,"Cardiac Science","G3 Powerheart (Fully-auto)",
"MOSTown Street","G/F, MOSTown Street, 8 On Shing Street, Ma On Shan, Shatin, N. T.","Guard Post",22.4225776,114.2320374,Yes,Anyone,"Accompanied By Staff only","Street level",,,,
MOSTown,"2/F, MOSTown, 628 Sai Sha Road, Ma On Shan, Shatin, N. T.","Management Office",22.425214559259178,114.22976291506653,Yes,Anyone,"Accompanied By Staff only","Non-street level",,,,
"Vista Paradiso","No. 2 Hang Ming Street, Ma On Shan","Club House Office",22.264663987847,114.55060652546,No,"Trained Personnel Only","Staff only","Non-street level",,,,
"Double Cove Place","L2, Double Cove Place, 8 Wu Kai Sha Road, Ma On Shan, N. T.",Concierge,22.4300282,114.2432523,Yes,Anyone,"Accompanied By Staff only","Non-street level",,,,
"Grand Waterfront Plaza","G/F, Grand Waterfront Plaza, 38 San Ma Tau Street, Kowloon",Concierge,22.3191864,114.1934885,Yes,Anyone,"Accompanied By Staff only","Street level",,"Cardiac Science","G5 Powerheart (Fully-auto)",
"Stars By The Harbour","Stars By The Harbour, No. 7 Hung Luen Road, Hunghom, Kowloon","Customer Service Counter, Club House",22.3019341,114.1876814,No,"Staff only","Staff only","Street level",,"Cardiac Science","G5 Powerheart (Fully-auto)",
"Square Mile","G/F, Square Mile, 11 Li Tak Street, Tai Kok Tsui, Kowloon",Concierge,22.32083943752908,114.1613745564314,Yes,Anyone,"Accompanied By Staff only","Street level",,,,
"The Vantage Row","G/F, The Vantage Row, 63 Ma Tau Wai Road, Hung Hom, Kowloon",Concierge,22.312107830266,114.18798928962,Yes,Anyone,"Accompanied By Staff only","Street level",,"Cardiac Science","G5 Powerheart (Fully-auto)",
"KOLOUR ․ Tsuen Wan II","G/F, Kolour Tsuen Wan II, 67-95 Tsuen Wan Market Street, Tsuen Wan, N. T.",Concierge,22.371285976149583,114.11879442464219,Yes,Anyone,"Accompanied By Staff only","Street level",,,,
"Skyline Plaza","L2, Skyline Plaza, 88 Tai Ho Road, Tsuen Wan, N. T.","Management Office",22.3697939,114.1118854,Yes,Anyone,"Accompanied By Staff only","Non-street level",,,,
"Metro Harbour Plaza","1/F, 8 Fuk Lee Street, Tai Kok Tsui, Kowloon",Concierge,22.324536031813,114.16062861468,Yes,Anyone,"Accompanied By Staff only","Non-street level",,,,
"Meridian Hill","No. 81, Broadcast Drive, Kowloon Tong, Kowloon","Recreation Area in Club House",22.3427993,114.1835882,No,"Staff only",Anyone,"Street level",,,,
"AIA Financial Centre","1/F, No.712 Prince Edward Road East, Kowloon",Concierge,22.33456,114.1995296,Yes,Anyone,"Accompanied By Staff only","Non-street level",,,,
"Laguna Verde","No. 8 Laguna Verde Avenue, Hunghom, Kowloon","Management Office of Laguna Verde",22.308068,114.192812,No,"Trained Personnel Only","Staff only","Non-street level",,"Cardiac Science","G3 Powerheart (Fully-auto)",
"Green Code Plaza","G/F, Green Code Plaza, 1 Ma Sik Road, Fanling, N. T.",Concierge,22.500550399612,114.14566089445,Yes,Anyone,"Accompanied By Staff only","Street level",,"Cardiac Science","PowerHeart G5 ( Fully-auto)",
"Tseung Kwan O Hospital - Ambulatory Care Block","2 Po Ning Lane, Hang Hau, Tseung Kwan O, N.T.","Outside Security Office, G/F Ambulatory Care Block",22.3179393,114.2701618,Yes,Anyone,Anyone,"Non-street level",,,,
"La Cresta (Nan Fung Property Management)","No.37 Lai Ping Road, Shatin","Reception Counter, Clubhouse",22.4129709,114.2024787,Yes,"Trained Personnel Only","Accompanied By Staff only","Street level",,,,
"Tseung Kwan O Hospital - Main Block","2 Po Ning Lane, Hang Hau, Tseung Kwan O, N.T.","Outside Security Control Room, LG/F Hospital Main Block",22.3179393,114.2701618,Yes,Anyone,Anyone,"Street level",,,,
"Haven of Hope Hospital","G/F, Main Block, 8 Haven of Hope Road, Tseung Kwan O, KLN","Security Control Room on G/F at Main Block",22.3142017,114.256023,Yes,"Staff only","Staff only","Street level",,,,
"Monte Vista","9 Sha On Street, Ma On Shan, Shatin","Clubhouse Counter",22.427339889686,114.2434926295,Yes,"Trained Personnel Only",Anyone,"Non-street level",,,,
